UPC,CALENDAR_DATE,UNITS_SUM,D_MEAN,PR_MEAN,DISCOUNT_MEAN
08-01-43571-00015,2011-01-17T00:00:00.000Z,160,0.25,0.0,0.0
00-02-28400-01109,2011-01-17T00:00:00.000Z,504,0.0,0.0,0.0
08-01-29515-30220,2011-01-17T00:00:00.000Z,290,0.0,1.0,0.2642857142857143
00-02-28400-06406,2011-01-24T00:00:00.000Z,642,0.16666666666666666,0.9166666666666666,0.06416666666666666
00-01-72600-00562,2011-01-24T00:00:00.000Z,720,0.9166666666666666,0.25,0.21583333333333332
00-02-77817-11150,2011-01-24T00:00:00.000Z,171,0.0,0.0,0.0
00-02-28400-06408,2011-01-24T00:00:00.000Z,2754,1.0,0.23076923076923078,0.05
08-01-43571-00015,2011-01-24T00:00:00.000Z,143,0.16666666666666666,0.0,0.0
00-01-28400-08295,2011-01-24T00:00:00.000Z,142,0.0,0.0,0.0
00-03-28400-08290,2011-01-24T00:00:00.000Z,148,0.18181818181818182,0.09090909090909091,0.00818181818181818
00-01-77975-08003,2011-01-24T00:00:00.000Z,187,0.6,0.1,0.009000000000000001
00-02-28400-06405,2011-01-24T00:00:00.000Z,918,0.6153846153846154,1.0,0.10076923076923078
00-03-41780-00118,2011-01-24T00:00:00.000Z,151,0.5833333333333334,0.16666666666666666,0.03
00-02-28400-01109,2011-01-24T00:00:00.000Z,484,0.0,0.0,0.0
00-02-28400-06404,2011-01-24T00:00:00.000Z,1134,0.6923076923076923,0.9230769230769231,0.09153846153846155
00-06-41780-00011,2011-01-24T00:00:00.000Z,166,0.6153846153846154,0.15384615384615385,0.016923076923076923
00-02-28400-08292,2011-01-24T00:00:00.000Z,140,0.36363636363636365,0.0,0.0
08-01-29515-30220,2011-01-24T00:00:00.000Z,146,0.0,0.1111111111111111,0.03888888888888889
00-02-28400-06406,2011-01-31T00:00:00.000Z,1596,0.4166666666666667,1.0,0.21583333333333335
00-01-72600-00562,2011-01-31T00:00:00.000Z,1519,0.75,1.0,0.43083333333333335
00-01-77975-08003,2011-01-31T00:00:00.000Z,306,0.4,1.0,0.16
00-02-28400-06405,2011-01-31T00:00:00.000Z,2282,0.6923076923076923,1.0,0.24615384615384617
00-02-28400-01109,2011-01-31T00:00:00.000Z,542,0.0,0.0,0.0
00-01-28400-08295,2011-01-31T00:00:00.000Z,170,0.0,0.0,0.0
08-01-29515-30220,2011-01-31T00:00:00.000Z,144,0.0,0.0,0.0
